epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,380.121,1.67189,2.53026,1.42035,1.36972,0.6708,0.73899,0.74916,0.42343,0.664,0.71847,0.72805,0.39983,1.50528,1.96606,1.21941,1.37222,0.000706335,0.000706335,0.000706335
57,386.494,1.68972,2.52316,1.4153,1.3689,0.62897,0.71775,0.74655,0.40036,0.62071,0.71006,0.73426,0.37911,1.60083,2.0875,1.25281,1.43813,0.00069682,0.00069682,0.00069682
58,392.588,1.67325,2.5247,1.41461,1.37891,0.72182,0.66716,0.75472,0.4258,0.67136,0.68803,0.74401,0.39502,1.52899,2.12787,1.17462,1.4103,0.000687222,0.000687222,0.000687222
59,398.67,1.63026,2.4746,1.35137,1.35762,0.79513,0.70342,0.80054,0.45689,0.79462,0.70161,0.79725,0.40837,1.53363,1.99262,1.10788,1.39579,0.000677543,0.000677543,0.000677543
60,405.123,1.6741,2.5213,1.38552,1.34384,0.77098,0.66634,0.77303,0.42591,0.73555,0.68718,0.76307,0.37245,1.60083,2.07617,1.23289,1.43612,0.000667789,0.000667789,0.000667789
61,411.299,1.62768,2.49724,1.36422,1.33958,0.76498,0.68264,0.76555,0.42754,0.72911,0.66659,0.7367,0.37029,1.5275,2.12608,1.20093,1.39584,0.000657963,0.000657963,0.000657963
62,417.42,1.60455,2.42903,1.29183,1.31828,0.71466,0.71164,0.76088,0.41848,0.66893,0.65409,0.72471,0.3744,1.60144,2.33096,1.23914,1.42141,0.000648071,0.000648071,0.000648071
63,423.499,1.65717,2.55493,1.37254,1.34986,0.75384,0.68665,0.777,0.41809,0.74862,0.66103,0.75631,0.38304,1.59012,2.13007,1.18095,1.43966,0.000638115,0.000638115,0.000638115
64,429.601,1.68858,2.50694,1.34066,1.36588,0.67102,0.67945,0.74719,0.38443,0.66181,0.67228,0.73246,0.35509,1.67735,2.22971,1.29691,1.4887,0.000628101,0.000628101,0.000628101
65,435.656,1.6463,2.49006,1.33833,1.3548,0.63838,0.7686,0.78739,0.44227,0.6227,0.75119,0.76811,0.40462,1.52109,2.03464,1.15763,1.39142,0.000618034,0.000618034,0.000618034
66,441.717,1.64218,2.50436,1.36595,1.37796,0.6714,0.66015,0.71398,0.38633,0.67652,0.66039,0.71824,0.37238,1.6734,2.01651,1.29636,1.47618,0.000607916,0.000607916,0.000607916
67,447.819,1.6372,2.49165,1.29889,1.33487,0.76716,0.68356,0.76532,0.44839,0.76212,0.66428,0.74799,0.41376,1.58494,2.09402,1.13223,1.42478,0.000597754,0.000597754,0.000597754
68,453.834,1.60639,2.43092,1.28372,1.33571,0.74759,0.64874,0.73175,0.39709,0.74299,0.624,0.71742,0.3771,1.62362,2.14642,1.32559,1.45356,0.000587551,0.000587551,0.000587551
69,459.895,1.586,2.39165,1.27546,1.33669,0.72746,0.65615,0.72117,0.40862,0.72247,0.65661,0.72127,0.38956,1.54264,2.20108,1.25257,1.41512,0.000577311,0.000577311,0.000577311
70,466.011,1.60964,2.45593,1.29758,1.33922,0.78789,0.72502,0.8052,0.46975,0.79106,0.70141,0.78669,0.44777,1.42398,1.8993,1.05031,1.3461,0.00056704,0.00056704,0.00056704
71,472.552,1.62584,2.43814,1.28122,1.33616,0.76129,0.72092,0.79057,0.44701,0.76291,0.72142,0.78397,0.42798,1.53831,1.94449,1.09465,1.36745,0.000556742,0.000556742,0.000556742
72,478.723,1.66411,2.44916,1.27559,1.35678,0.75339,0.73795,0.78618,0.4395,0.69858,0.72114,0.75564,0.40869,1.55475,2.04162,1.12383,1.39253,0.000546421,0.000546421,0.000546421
73,484.737,1.61757,2.41622,1.22902,1.34091,0.75496,0.74327,0.80576,0.45888,0.73387,0.7218,0.78427,0.42608,1.48665,1.97191,1.11329,1.36101,0.000536081,0.000536081,0.000536081
74,490.791,1.59115,2.40517,1.25274,1.32672,0.71557,0.74524,0.76021,0.41552,0.70468,0.73657,0.74776,0.39969,1.70169,2.20658,1.30418,1.48895,0.000525728,0.000525728,0.000525728
75,496.893,1.60564,2.46992,1.29019,1.33116,0.74347,0.75184,0.80545,0.43716,0.72945,0.73033,0.78011,0.38719,1.58371,2.1617,1.14097,1.42271,0.000515366,0.000515366,0.000515366
76,503.035,1.57565,2.35898,1.20844,1.29415,0.75886,0.76391,0.80701,0.44959,0.73532,0.74044,0.77159,0.38957,1.55554,2.2054,1.11238,1.39889,0.000505,0.000505,0.000505
77,509.129,1.6018,2.43207,1.25087,1.32586,0.7822,0.71931,0.79647,0.44733,0.76759,0.70356,0.7766,0.40609,1.62725,2.20588,1.12655,1.45842,0.000494634,0.000494634,0.000494634
78,515.356,1.55955,2.35594,1.19418,1.29686,0.76399,0.74475,0.82003,0.48076,0.75168,0.71987,0.79514,0.44073,1.49596,2.03388,1.06758,1.36913,0.000484272,0.000484272,0.000484272
79,521.909,1.54076,2.31983,1.20567,1.29505,0.80872,0.74589,0.83882,0.51209,0.79244,0.7131,0.81074,0.46266,1.43624,1.85028,0.9746,1.35483,0.000473919,0.000473919,0.000473919
80,528.353,1.59491,2.38032,1.22645,1.32693,0.80615,0.76968,0.84117,0.48509,0.79959,0.76245,0.82838,0.44482,1.55747,1.95419,0.98297,1.42844,0.000463579,0.000463579,0.000463579
81,534.415,1.53593,2.37494,1.20377,1.28741,0.74499,0.68982,0.79055,0.43527,0.68964,0.70613,0.76781,0.4015,1.61684,2.05893,1.12371,1.44364,0.000453258,0.000453258,0.000453258
